customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
ID-0000,Male,0,No,No,66,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,Yes,One year,No,Electronic check,99.91,6636.03,Yes
ID-0001,Female,1,No,No,24,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No internet service,Two year,No,Credit card (automatic),113.97,2671.12,Yes
ID-0002,Male,0,No,No,60,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,52.27,3103.86,No
ID-0003,Male,0,Yes,No,25,Yes,No,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,81.85,2067.15,No
ID-0004,Male,0,Yes,No,33,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),41.07,1364.26,No
ID-0005,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),92.53,680.16,Yes
ID-0006,Male,0,Yes,Yes,39,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,No,Credit card (automatic),117.4,4497.45,No
ID-0007,Male,0,Yes,No,6,No,Yes,No,No,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),50.48,349.61,Yes
ID-0008,Male,0,Yes,No,29,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),24.62,617.91,No
ID-0009,Female,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,No,Credit card (automatic),116.31,7551.35,No
ID-0010,Male,0,Yes,Yes,29,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,21.15,597.56,Yes
ID-0011,Male,0,Yes,No,67,Yes,No,No,Yes,Yes,No internet service,No,No,No,One year,No,Mailed check,54.79,3685.8,No
ID-0012,Male,0,No,No,57,No,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),74.53,4251.44,No
ID-0013,Male,0,No,Yes,54,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),96.98,5140.5,No
ID-0014,Female,0,Yes,No,13,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No internet service,One year,No,Electronic check,39.87,556.43,No
ID-0015,Male,0,Yes,No,36,Yes,No,No,No,No,No internet service,Yes,No,No internet service,Two year,Yes,Mailed check,23.46,823.51,No
ID-0016,Female,0,Yes,Yes,43,Yes,Yes,No,Yes,Yes,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),88.39,3802.72,No
ID-0017,Female,0,No,Yes,5,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No,One year,No,Electronic check,27.81,141.57,Yes
ID-0018,Female,1,Yes,No,25,No,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,No,Electronic check,42.63,1056.95,No
ID-0019,Male,0,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,45.04,634.12,Yes
ID-0020,Female,1,Yes,No,7,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No,Month-to-month,No,Credit card (automatic),102.62,826.61,Yes
ID-0021,Male,0,Yes,No,23,Yes,Yes,DSL,No,No,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),76.53,1791.89,No
ID-0022,Female,0,Yes,Yes,38,Yes,Yes,No,No,No,Yes,Yes,No internet service,No,Two year,No,Bank transfer (automatic),63.62,2385.93,No
ID-0023,Female,1,Yes,No,48,Yes,No phone service,No,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,20.59,1047.33,Yes
ID-0024,Female,0,No,No,62,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No,Month-to-month,No,Mailed check,69.32,4296.92,No
ID-0025,Female,0,No,No,25,Yes,Yes,DSL,No internet service,No internet service,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),89.98,2327.43,No
ID-0026,Female,0,No,No,9,Yes,No,No,No internet service,Yes,No internet service,Yes,No,No,Two year,No,Credit card (automatic),116.64,1043.36,No
ID-0027,Female,0,No,Yes,57,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No internet service,One year,Yes,Credit card (automatic),66.76,3764.61,No
ID-0028,Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.25,968.27,Yes
ID-0029,Female,0,No,Yes,70,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),50.46,3499.42,No
ID-0030,Male,0,Yes,Yes,38,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,100.39,3822.11,No
ID-0031,Male,0,Yes,No,30,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,72.57,2164.34,No
ID-0032,Female,0,Yes,Yes,49,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No,Two year,No,Bank transfer (automatic),55.99,2727.9,No
ID-0033,Female,0,No,No,15,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),29.76,402.56,No
ID-0034,Female,0,Yes,Yes,71,Yes,No phone service,DSL,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),108.08,7624.24,No
ID-0035,Male,0,No,Yes,50,No,Yes,No,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,98.94,4913.23,No
ID-0036,Female,1,Yes,No,14,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,38.93,514.1,No
ID-0037,Male,0,No,Yes,37,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),106.39,4007.8,No
ID-0038,Male,1,Yes,Yes,70,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,One year,No,Electronic check,74.29,5196.7,No
ID-0039,Male,0,Yes,No,71,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,95.82,6891.41,No
ID-0040,Male,0,No,Yes,20,Yes,No,Fiber optic,No,No,Yes,No,No,No internet service,Two year,Yes,Electronic check,83.78,1742.15,No
ID-0041,Male,0,Yes,Yes,15,Yes,No,DSL,No internet service,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),25.09,368.9,Yes
ID-0042,Female,0,No,No,66,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),43.12,2811.69,No
ID-0043,Female,0,Yes,Yes,64,Yes,No phone service,No,No,No internet service,No internet service,No internet service,No,No internet service,One year,No,Electronic check,60.7,3872.02,No
ID-0044,Female,0,Yes,No,12,Yes,No,DSL,No,No internet service,No internet service,Yes,No,Yes,One year,Yes,Mailed check,29.28,364.02,No
ID-0045,Female,0,No,Yes,63,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),55.64,3575.01,No
ID-0046,Female,1,No,Yes,60,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),21.64,1238.03,No
ID-0047,Male,0,Yes,No,31,Yes,No,No,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,107.24,3289.14,No
ID-0048,Female,0,No,No,11,Yes,No,DSL,No internet service,No internet service,No,No,Yes,Yes,One year,No,Electronic check,22.36,222.87,Yes
ID-0049,Female,0,No,Yes,40,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,Yes,One year,Yes,Mailed check,73.38,2976.07,No
ID-0050,Male,0,No,No,65,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),87.65,5722.83,No
ID-0051,Female,0,Yes,Yes,7,Yes,No,No,No,No,No internet service,Yes,No,No,One year,Yes,Credit card (automatic),47.57,327.0,No
ID-0052,Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Two year,Yes,Mailed check,18.22,1116.66,Yes
ID-0053,Female,1,No,No,24,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,73.95,1856.77,No
